Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
World Food Programme Nigeria Regional Emergency Operation - IDA Award,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2016,8000000
"Democracy, Human Rights and Labor Program - Unspecified Project",Europe Region,Department of State,Government and Civil Society,Economic Support Fund,Obligations,2015,7927009
Ocean Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2003,7919300
Ocean Freight for Bill Emerson Humanitarian Trust Food Aid,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2003,7919300
FFP/Emergency Transport - 2,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Disbursements,2005,7915876
Market Linkages Initiatives (MLI),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, International Disaster Assistance",Disbursements,2011,7912700
Emergency Appeals,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2008,7900000
FY08 Contribution to ICRC Emergency Appeals for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2008,7900000
2013 Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2014,7850000
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2007,7806500
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2007,7806500
Agricultural Sector Productivity,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2010,7750000
Resilience and Economic Growth in the Sahel - Enhanced Resilience,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2017,7747224
West Africa Region Reproductive Health and Child Survival Project (AWARE-RH),West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2008,7694950
ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2005,7629700
ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2005,7629700
Resilience and Economic Growth in the Sahel - Enhanced Resilience,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2016,7622251
FY 2015 International Committee of the Red Cross (ICRC) First Tranche Funding - Europe Region,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2015,7600000
International Committee of the Red Cross (ICRC) 2nd Tranche Contribution - Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2015,7600000
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,7550000
Trade Infrastructure Project,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2016,7500000
FFP/Emergency Transport - 2,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Disbursements,2004,7461224
1st Tranche,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2016,7450000
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Obligations,2013,7409095
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,Economic Support Fund,Disbursements,2017,7403000
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2003,7327500
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2003,7327500
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,Economic Support Fund,Obligations,2017,7278412
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Disbursements,2012,7248380
EMERGENCY APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,7240000
Peace Through Development II (PDev II),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2012,7228200
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Obligations,2016,7227000
"The United States has made an additional voluntary contribution of $29,400,000 to the ICRC in support of its CY 2002 emergency appeals.",Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2002,7200000
"Title II - World Vision Bill Emerson Humanitarian Trust (BEHT), Consortium for Southern Africa Food Security Emergency (C-SAFE)",Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Disbursements,2005,7184566
Ocean Freight of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2006,7130000
Ocean Freight of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2006,7130000
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2006,7130000
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2006,7130000
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2011,7115000
World Food Programme Nigeria Regional Emergency Operation - IDA Award,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2017,7092441
Resilience and Economic Growth in the Sahel - Enhanced Resilience,West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Disbursements,2015,7066060
Young African Leaders Initiative (YALI) Regional Leadership Center East Africa,Eastern Africa Region,U.S. Agency for International Development,Post-Secondary Education,"Agency for International Development, Development Assistance",Obligations,2015,7000000
East Africa Trade and Investment Hub,Eastern Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2017,6956937
Agir pour la Planification Familiale (AGIR-PF),West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2017,6916374
